gender,age_group,occupation,Intl_students,degree,fvt_social_media_platform,usage_reason,usage_time,device,interaction,preferred_content,watched_livestream,watched_livestream_frequency,avg_watch_time_livestream,emotional_fullfillment,svp_discovery_method,content_personalization,purchased_product,purchase_frequency,follow_influencers,influencer_inspired_travel ,influencer_inspired_travel _frequency,influencer_travel_trust_score
Male,45-54,Employed,No,,Instagram,Learning and Education,Evening 5 pm - 12 am),Laptop/Desktop,Comment,"Sports and Fitness, Comedy and Entertainment, Educational Content, Technology and Gaming",Yes,Once a week,30 minutes to 1 hour,Yes,"Through platform recommendations, Via social shares by friends or family, By exploring trending sections",4,No,,Yes,No,,Somewhat likely
Male,25-34,Employed,No,N/A,YouTube (shorts),Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,Technology and Gaming,Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations,4,Yes,Once a month,Yes,Yes,Once,Somewhat likely
Female,45-54,Employed,No,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Educational Content",Yes,Once a month,15 minutes to 30 minutes,Sometimes,By searching for specific content,3,No,,No,No,,Somewhat likely
Female,55-64,Retired,,,Other,none,Evening 5 pm - 12 am),Smartphone,none,none,No,,,No,i dont,2,No,,No,No,,Very unlikely
Male,35-44,Employed,No,Undergraduate,TikTok,Sharing Personal Experiences,Morning (5 am - 12 pm),Smartphone,Post content,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,2-3 times a week,Less than 15 minutes,Yes,"Through platform recommendations, By searching for specific content, By exploring trending sections",3,No,,No,No,,Somewhat unlikely
Male,35-44,Employed,No,Undergraduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",No,Na,Less than 15 minutes,Sometimes,"Via social shares by friends or family, By exploring trending sections",3,No,,Yes,No,,Somewhat likely
Male,18-24,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Educational Content",Yes,2-3 times a month,Less than 15 minutes,Sometimes,"Via social shares by friends or family, By exploring trending sections",5,No,,Yes,No,,Neutral
Female,25-34,Employed,No,Post-graduate,Instagram,Entertainment and Leisure,Morning (5 am - 12 pm),Smartphone,Like,Sports and Fitness,Yes,Once a day,Less than 15 minutes,Yes,"Through platform recommendations, Via social shares by friends or family",3,No,Once a month,Yes,No,,Somewhat likely
Male,35-44,Self-employed,No,Post-graduate,Instagram,Learning and Education,Late Night (12 am - 5 am),Laptop/Desktop,Like,"Movies, TV Shows, and Animation",No,,,No,Through platform recommendations,1,No,,No,No,,Somewhat likely
Male,25-34,Employed,,Undergraduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation",No,2-3 times a day,Less than 15 minutes,No,Through platform recommendations,4,No,,No,No,,Neutral
